,borough,x,y,latitude,longitude
347,Barking & Dagenham,547624.3,189747.8,51.587252,0.129486
348,Barking & Dagenham,547639.9,189753.5,51.587299,0.129713
349,Barking & Dagenham,547651.2,189757.8,51.587335,0.129878
350,Barking & Dagenham,547728.6,189780.6,51.587519,0.131004
351,Barking & Dagenham,547699.9,189843.7,51.588094,0.130616
352,Barking & Dagenham,547686.6,189873.6,51.588366,0.130437
353,Barking & Dagenham,547668.9,189909.9,51.588697,0.130197
354,Barking & Dagenham,547655.2,189941.9,51.588988,0.130013
355,Barking & Dagenham,547642.2,189982.5,51.589356,0.129842
356,Barking & Dagenham,547633.8,190008.5,51.589592,0.129732
357,Barking & Dagenham,547620.1,190059.3,51.590052,0.129556
358,Barking & Dagenham,547687.7,190112.2,51.59051,0.130553
359,Barking & Dagenham,547791.3,190198.4,51.591257,0.132084
360,Barking & Dagenham,547865.2,190258.1,51.591774,0.133175
361,Barking & Dagenham,548037.6,190399.1,51.592996,0.135721
362,Barking & Dagenham,548107.2,190458.0,51.593507,0.13675
363,Barking & Dagenham,548150.4,190491.1,51.593793,0.137387
364,Barking & Dagenham,548154.5,190498.7,51.59386,0.13745
365,Barking & Dagenham,548162.1,190500.7,51.593876,0.13756
366,Barking & Dagenham,548169.2,190509.3,51.593951,0.137666
367,Barking & Dagenham,548246.4,190590.6,51.594661,0.138814
368,Barking & Dagenham,548363.2,190712.5,51.595726,0.140551
369,Barking & Dagenham,548410.0,190760.3,51.596143,0.141246
370,Barking & Dagenham,548453.8,190809.9,51.596577,0.141899
371,Barking & Dagenham,548456.6,190813.0,51.596604,0.141941
372,Barking & Dagenham,548515.1,190874.4,51.597141,0.142811
373,Barking & Dagenham,548704.9,191069.9,51.598847,0.145632
374,Barking & Dagenham,548767.5,191137.3,51.599436,0.146563
375,Barking & Dagenham,548837.4,191107.8,51.599153,0.147559
376,Barking & Dagenham,548869.9,191094.3,51.599023,0.148022
377,Barking & Dagenham,548876.9,191090.1,51.598983,0.148122
378,Barking & Dagenham,548881.0,191087.6,51.59896,0.14818
379,Barking & Dagenham,548877.3,191055.8,51.598675,0.148113
380,Barking & Dagenham,548878.9,191046.4,51.59859,0.148132
381,Barking & Dagenham,548870.4,190998.2,51.598159,0.147989
382,Barking & Dagenham,548867.0,190954.4,51.597767,0.147921
383,Barking & Dagenham,548858.6,190892.3,51.597211,0.147774
384,Barking & Dagenham,548851.9,190846.6,51.596802,0.147658
385,Barking & Dagenham,548851.9,190846.2,51.596798,0.147658
386,Barking & Dagenham,548881.6,190844.0,51.596771,0.148085
387,Barking & Dagenham,548886.3,190843.7,51.596767,0.148153
388,Barking & Dagenham,548881.8,190803.0,51.596402,0.148071
389,Barking & Dagenham,548881.2,190797.5,51.596353,0.14806
390,Barking & Dagenham,548997.2,190879.2,51.597057,0.149768
391,Barking & Dagenham,549000.4,190881.4,51.597075,0.149815
392,Barking & Dagenham,549019.0,190844.4,51.596738,0.150067
393,Barking & Dagenham,549049.1,190789.6,51.596238,0.150478
394,Barking & Dagenham,549075.3,190740.5,51.59579,0.150836
395,Barking & Dagenham,549096.9,190701.9,51.595437,0.151131
396,Barking & Dagenham,549088.5,190622.2,51.594723,0.150976
397,Barking & Dagenham,549083.4,190516.4,51.593774,0.150857
398,Barking & Dagenham,549076.7,190474.5,51.593399,0.150743
399,Barking & Dagenham,549076.7,190381.3,51.592562,0.150703
400,Barking & Dagenham,549071.8,190239.0,51.591285,0.150572
401,Barking & Dagenham,549083.4,190205.9,51.590984,0.150725
402,Barking & Dagenham,549098.8,190152.8,51.590503,0.150925
403,Barking & Dagenham,549110.9,190109.9,51.590114,0.151081
404,Barking & Dagenham,549116.5,190074.9,51.589798,0.151147
405,Barking & Dagenham,549117.9,190041.8,51.589501,0.151153
406,Barking & Dagenham,549122.3,190000.0,51.589124,0.151199
407,Barking & Dagenham,549122.2,190000.0,51.589124,0.151198
408,Barking & Dagenham,549120.8,189840.7,51.587693,0.15111
409,Barking & Dagenham,549121.3,189718.1,51.586591,0.151065
410,Barking & Dagenham,549120.4,189566.0,51.585225,0.150988
411,Barking & Dagenham,549120.8,189449.8,51.584181,0.150944
412,Barking & Dagenham,549121.1,189402.4,51.583755,0.150928
413,Barking & Dagenham,549112.7,189365.8,51.583428,0.150792
414,Barking & Dagenham,549102.4,189324.7,51.583062,0.150626
415,Barking & Dagenham,549089.7,189304.8,51.582886,0.150434
416,Barking & Dagenham,549060.1,189270.1,51.582582,0.149992
417,Barking & Dagenham,549037.8,189244.1,51.582354,0.14966
418,Barking & Dagenham,548995.2,189156.3,51.581577,0.149008
419,Barking & Dagenham,548965.0,189086.5,51.580958,0.148543
420,Barking & Dagenham,548954.6,189063.3,51.580752,0.148383
421,Barking & Dagenham,548889.7,189065.8,51.580792,0.147448
422,Barking & Dagenham,548884.8,188924.3,51.579521,0.147318
423,Barking & Dagenham,548884.1,188746.7,51.577926,0.147232
424,Barking & Dagenham,548882.4,188701.5,51.57752,0.147189
425,Barking & Dagenham,548881.2,188669.1,51.577229,0.147158
426,Barking & Dagenham,548875.3,188573.7,51.576374,0.147032
427,Barking & Dagenham,548874.2,188496.3,51.575679,0.146984
428,Barking & Dagenham,548946.8,188509.2,51.575775,0.148036
429,Barking & Dagenham,548952.5,188492.4,51.575623,0.148111
430,Barking & Dagenham,548958.5,188459.1,51.575322,0.148183
431,Barking & Dagenham,548960.4,188445.1,51.575196,0.148205
432,Barking & Dagenham,548959.4,188430.4,51.575064,0.148184
433,Barking & Dagenham,548954.3,188379.7,51.57461,0.148089
